"","max_y","min_y","abs_lat"
"gorgonae",2.961194,2.950795,2.961194
"gracilipes",1.066,-2.167,2.167
"gracilipes_Ant",7.078,6.433,7.078
"grahami",18.462,18.004,18.462
"granuliceps",8.02,-0.25,8.02
"greyi",21.679,21.287,21.679
"griseus",13.133,13.133,13.133
"gruuo",8.533,8.482,8.533
"guafe",20.045,20.045,20.045
"guamuhaha",21.912,21.912,21.912
"guazuma",21.937,21.912,21.937
"gundlachi",18.37,17.97,18.37
"haetianus",18.32,18.32,18.32
"haguei",16.64,14.86,16.64
"hendersoni",18.654,18.129,18.654
"heterodermus",6.916,0.831,6.916
"heteropholidotus",14.223228,14.223228,14.223228
"hobartsmithi",17.33,17.15,17.33
"homolechis",23.137,19.987,23.137
"huilae",5,1.31,5
"humilis",17.484,8.506,17.484
"ignigularis",19.22681667,18.77275,19.22681667
"imias",20.154,20.154,20.154
"inexpectatus",20.645,20.629,20.645
"insignis",10.734,7.976,10.734
"insolitus",19.204,18.654,19.204
"intermedius",10.3,9.779,10.3
"isolepis",21.679,20.112,21.679
"isthmicus",17.07,16.32,17.07
"jacare",9.315,7.301,9.315
"johnmeyeri",15.52,15.083,15.52
"juangundlanchi",22.895,22.895,22.895
"jubar",21.195,19.954,21.195
"kahouannensis",16.381419,16.366998,16.381419
"kemptoni",24.37,8.771,24.37
"koopmani",18.437,18.27,18.437
"kreutzi",15.433,15.433,15.433
"krugi",18.454,17.987,18.454
"kunayalae",9.459,8.55,9.459
"laevis",-5.966165,-6.035264,6.035264
"laeviventris",21.19,8.812,21.19
"lamari",4.164628,4.096169,4.164628
"latifrons",7.976,3.93,7.976
"leachii",17.641,17.641,17.641
"lemurinus",27.07,8.397,27.07
"limifrons",20.86,7.767,20.86
"limifrons/cryptolimifrons",9.111,9.002,9.111
"limon",6.912,5.559,6.912
"lineatopus",18.462,17.954,18.462
"lineatus",12.236194,12.1906,12.236194
"liogaster",18.48,17.21,18.48
"lionotus",15.05,8.483,15.05
"litoralis",20.3353,19.89953,20.3353
"lividus",16.804,16.72,16.804
"longiceps",18.405,18.405,18.405
