"","bio.1","bio.10","bio.11","bio.12","bio.13","bio.14","bio.15","bio.16","bio.17","bio.18","bio.19","bio.2","bio.3","bio.4","bio.5","bio.6","bio.7","bio.8","bio.9","species","sample.length"
"1",26.091667175293,27.466667175293,24.5833339691162,1113,148,41,41.3921775817871,430,141,258,197,7.20000028610229,69.9029083251953,122.452835083008,31.1000003814697,20.7999992370605,10.3000011444092,26.7000007629395,24.6000003814697,"acutus",1
"2",26.5083332061768,27.2999992370605,25.3833332061768,2075,286,74,38.8520050048828,753,259,603,358,5.48333263397217,70.2991485595703,83.4438629150391,30.3999996185303,22.6000003814697,7.79999923706055,26.4500007629395,25.75,"aeneus",1
"3",17.5641667197732,17.9280392366297,17.3082351572373,2073.70588235294,319.023529411765,44.5529411764706,58.4047171648811,919.211764705882,200.541176470588,817.976470588235,444.470588235294,8.68362748763141,90.2446396771599,25.2467803057502,22.3352940952077,12.7105882083668,9.62470588684082,17.7613725325641,17.5,"aequatorialis",85
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aff.danieli",0
"5",25.7999992370605,26.6166667938232,25.033332824707,2676,365,113,33.6648139953613,849,460,580,712,7.19999980926514,80,64.772331237793,30.6000003814697,21.6000003814697,9,25.2666664123535,25.2333335876465,"agassizi",1
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agueroi",0
"7",20.7249997456869,22.9666665395101,17.9833335876465,1575.66666666667,237.333333333333,24.3333333333333,65.9359308878581,645,101.333333333333,608.666666666667,101.333333333333,8.62222226460775,60.0168800354004,206.71364847819,27.4666665395101,13.1000000635783,14.3666664759318,22.5,17.9833335876465,"ahli",3
"8",24.0166664123535,25.7333335876465,22.0833339691162,1350,219,26,61.0882415771484,545,93,411,93,8.21666622161865,64.1927108764648,149.580215454102,29.8999996185303,17.1000003814697,12.7999992370605,25.3166656494141,22.0833339691162,"alayoni",1
"9",21.9375,23.8166656494141,19.8333339691162,1717,258,68,42.6673011779785,613,216,485,245,7.22500038146973,59.7107429504395,164.512008666992,27.6000003814697,15.5,12.1000003814697,23.4333343505859,19.9333343505859,"alfaroi",1
"10",20.1215515465572,21.4977010529617,18.3367816661966,1258.58620689655,198.896551724138,35.2068965517241,50.3891785720299,463.379310344828,121.379310344828,388.793103448276,134.689655172414,11.0649425901216,73.472953007139,129.206792634109,27.1068965648783,12.0482758818002,15.0586206830781,21.2218390497668,18.5264369372664,"aliniger",29
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"allisoni",0
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"allogus",0
"13",18.164297356325,18.9091504040886,17.3490195554846,3205.36274509804,456.764705882353,90.4117647058823,45.3515111698824,1166.74509803922,354.617647058824,664.205882352941,829.313725490196,9.4815359396093,80.1721756879021,64.4579431496414,24.2352940802481,12.405882358551,11.829411721697,18.0535947107801,18.2947711103103,"altae",102
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"altavelensis",0
"15",18.953125,20.6916666030884,16.9124994277954,1796.75,267.25,54.5,49.6663064956665,650.75,188.5,570.75,188.5,8.23541665077209,63.231948852539,155.092353820801,25.1500000953674,12.125,13.0250000953674,20.3499999046326,16.9124994277954,"altitudinalis",4
"16",24.692221959432,26.0599999745687,23.2033334096273,921.933333333333,148,21,60.3580655415853,394.4,72.4,313.733333333333,72.8,10.7755556106568,75.4383387247722,114.260391235352,31.5266668955485,17.2399998982747,14.2866669972738,25.7733333587646,23.2422222137451,"alumina",15
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alutaceus",0
"18",21.591667175293,23.4500007629395,19.1833343505859,1119,213,14,85.0734786987305,573,53,311,76,12.6333332061768,67.9211502075195,174.040649414062,30.8999996185303,12.3000001907349,18.5999984741211,22.6499996185303,21.283332824707,"alvarezdeltoroi",1
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amplisquamosus",0
"20",20.4166660308838,20.716667175293,19.8833332061768,1448,219,29,53.9961776733398,572,116,469,118,7.53333330154419,81.0035781860352,37.8594017028809,24.6000003814697,15.3000001907349,9.30000019073486,20.6166667938232,20.1166667938232,"anatoloros",1
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anchicayae",0
"22",22.6458339691162,24.3500003814697,20.716667175293,1579,253,68,38.8023109436035,557,239,381,314,7.32500028610229,62.0762672424316,149.825042724609,28.2000007629395,16.3999996185303,11.8000011444092,23.25,21.3999996185303,"anfiloquiae",1
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"angusticeps",0
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anisolepis",0
"25",27.0833339691162,27.6499996185303,26.7333335876465,1516,225,17,58.3706130981445,636,97,198,618,9.33333301544189,78.4313659667969,42.229549407959,33.2000007629395,21.2999992370605,11.9000015258789,26.8999996185303,27.3500003814697,"annectens",1
