species,minLat,maxLat,Midpoint_Lat,Log10_meanSVL,P-comp,S-comp,Anntemp,AET,GVI,NDVI,season_temp,season_prec
barbatus,22.804,22.804,22.804,2.213517757,2.156990331,0.056527426,236.8891907,1272,243,212.2916718,2100.000977,48.33345032
barbouri,18.029,18.495,18.262,1.633468456,1.761146065,-0.127677609,212.6535835,1117.15,213.95,205.3423615,1099.78324,58.14542694
barkeri,16.133,20.667,18.4,1.951823035,1.703910179,0.247912856,236.3986802,1292.176471,232.1058824,201.411981,1922.477449,64.81795919
bartschi,22.204,22.67,22.437,1.860338007,1.885447503,-0.025109496,246.0576401,1209.333333,231,203.2337926,2119.697306,55.74901644
beckeri,14.033,17.593,15.813,1.763427994,1.83523709,-0.071809096,250.8579544,1287.8,230.95,206.9182877,1571.693686,52.17271175
benedikti,8.8333,8.9887,8.911,1.685741739,1.715189985,-0.029448246,153.0243264,1124.16129,241.5806452,182.9441415,583.7404657,57.21389549
bicaorum,16.106,16.112,16.109,1.900367129,1.739302589,0.16106454,262,1303,255,188.6481476,1346.749512,58
bimaculatus,10.67,17.304,13.987,1.984527313,1.826023627,0.158503686,264.1946564,1150.5,255,189.7615738,838.2345581,41.61113548
binotatus,-3.511,7.96,2.2245,1.707570176,1.810507729,-0.102937553,237.9306965,1069.375,217.875,179.4282417,727.6472645,86.47315502
biporcatus,-0.585,19.07,9.2425,1.989004616,1.837469778,0.151534838,241.673133,1349.15445,234.6308901,198.755769,1000.083226,53.20639729
birama,20.627894,20.627894,20.627894,1.73239376,1.727599907,0.004793853,260,1003,194,196.6944427,1674.086792,66.90123749
biscutiger,8.60427,9.307211,8.9557405,1.58546073,1.743611371,-0.158150641,259.2410583,1559.5,236.5,189.2175903,727.0567017,56.62961769
blanquillanus,11.85,11.85,11.85,1.883661435,1.878532654,0.005128781,276.815033,454,255,158.8472137,784.9646606,55.25944138
boettgeri,-13.137,-10.567,-11.852,1.835690571,1.850833885,-0.015143314,180.0122506,1180.142857,235.7142857,180.0608455,775.8008684,50.51499557
bombiceps,-11.9,-1.05,-6.475,1.838849091,1.84199096,-0.003141869,256.2099143,1667.111111,242.6666667,211.5565847,464.4854652,20.14195675
bonairensis,12.162,12.229,12.1955,1.802773725,1.878532654,-0.075758929,273.4232483,388.5,194,158.1288605,737.8724162,68.57880656
boulengerianus,15.995334,16.884414,16.439874,1.781755375,1.732566523,0.049188852,237.432179,882.8571429,223.2857143,194.2731476,1292.300799,100.1358185
brasiliensis,-20.034184,-5.155427,-12.5948055,1.8162413,1.84195343,-0.02571213,250.9351349,1141.5,192.75,202.0011559,1018.342506,70.51850891
bremeri,21.67,22.52,22.095,1.792391689,1.705378346,0.087013343,251.7704437,1140,210.2,194.3620392,2039.566016,59.79571152
breslini,19.803852,19.804009,19.8039305,1.77815125,1.80086513,-0.02271388,256.6234131,591,255,178.8148193,1223.122192,50.62532043
brevirostris,17.57,19.154,18.362,1.72427587,1.707797193,0.016478677,248.8988789,908.3868613,209.9708029,191.9255886,1082.420366,57.74614833
brunneus,22.593,22.593,22.593,1.86332286,1.81996091,0.04336195,260,698,255,1,1925,48
calimae,3.47,5.126,4.298,1.767155866,1.826303054,-0.059147188,177.9205865,1257.111111,229.1111111,187.1754133,249.7567054,30.40477498
campbelli,15.988,16.002,15.995,1.716003344,1.705906268,0.010097076,189.8786736,1369.5,227,195.4363518,938.594696,64.91659832
capito,8.017,17.484,12.7505,1.99343623,1.725244542,0.268191688,240.1067053,1396.303178,236.5427873,199.901838,949.4956942,49.32172665
carolinensis,16.7,35.93486,26.31743,1.795880017,1.800370107,-0.00449009,204.1632785,1061.549343,209.3137969,188.2239727,5485.606465,36.16464068
carpenteri,8.808,13.683,11.2455,1.662757832,1.741989415,-0.079231583,249.4222904,1489.113208,235.8490566,201.5951262,720.7680503,36.50423838
casildae,8.496,9.16,8.828,2.027349608,1.988885248,0.03846436,195.5684982,1269.3,238.2,183.4699081,474.1238617,47.75496902
caudalis,18.57,18.945,18.7575,1.685741739,1.706852278,-0.021110539,256.5585216,928.0909091,239,154.9663294,1154.163341,53.69470908
centralis,20.145,20.337,20.241,1.596597096,1.559883024,0.036714072,234.3915863,1080,231.6666667,201.3271637,1605.163696,51.56387202
chamaeleonides,20.029,23.129,21.579,2.241795431,2.159943311,0.08185212,249.9182739,1156.384615,224.3076923,201.9081186,1886.026433,56.62871757
charlesmyeri,8.433,10.834,9.6335,1.860338007,1.83286544,0.027472567,245.9294495,1398.038462,234.1153846,189.759437,706.4165626,66.42263163
chloris,-0.617,7.674,3.5285,1.77815125,1.8421108,-0.06395955,230.9314545,1316.57377,222.6557377,176.9376896,446.2837582,54.95836638
chlorocyanus,17.987,20.045,19.016,1.848189117,1.766246485,0.081942632,249.9784472,1117.531818,218.3727273,189.4008209,1223.083921,43.89072058
chocorum,-0.627,10.08,4.7265,1.889301703,1.999217432,-0.109915729,244.5577994,1391.75,242.5277778,183.7183647,453.8059408,45.2967342
christophei,18.404,19.77,19.087,1.67669361,2.088621829,-0.411928219,212.5832299,1135.893617,223.4893617,204.1112087,1349.763316,39.04558145
chrysops,15.860387,15.865119,15.862753,1.963787827,1.830326077,0.13346175,260.8887329,944.5,255,1,932.7210693,46.72199631
clivicola,19.987,20.045,20.016,1.672097858,1.565956565,0.106141293,216.5296555,1082,228.5,202.9629593,1505.964111,49.75321579
cobanensis,15.062,17.211,16.1365,1.698970004,1.702907507,-0.003937503,182.7211976,1173.015152,228.7878788,203.5159237,1199.382639,58.5489165
coelestinus,16.5,19.587,18.0435,1.86332286,1.770256873,0.093065987,234.8342619,1195.940476,222.0833333,194.7706686,1152.288956,52.58188502
compressicauda,15.314,17.557,16.4355,1.728353782,1.704919319,0.023434463,236.5175,1081.390244,229.0243902,202.063685,1659.628555,80.18416335
confusus,20.045,20.045,20.045,1.648360011,1.706532237,-0.058172226,260.5276184,861,255,190.9212952,1505.054321,58.38890839
conspersus,19.281,19.333,19.307,1.77815125,1.868895266,-0.090744016,264.8441856,1092.636364,255,143.5265156,1311.467463,56
cooki,17.954,18.004,17.979,1.819543936,1.769527188,0.050016748,259.3545024,769.5,238.5,194.8294779,1127.693888,55.51227442
crassulus,13.737,19.32,16.5285,1.736396502,1.781187302,-0.0447908,168.5874225,1003.856436,224.8391089,197.8820121,1095.01587,79.09650729
cristatellus,17.895,18.537,18.216,1.883661435,1.769566438,0.114094997,245.704496,1210.116505,235.2718447,198.0353755,1202.534074,40.02303461
cristifer,14.114,15.358,14.736,1.911157609,1.833315852,0.077841757,252.7767116,1291.785714,230,192.3634284,655.2378671,84.68522917
cryptolimifrons,8.871,9.469,9.17,1.638489257,1.743646802,-0.105157545,252.0760449,1436.774194,247.4516129,189.2786722,570.2164444,30.21959957
cupeyalensis,20.537,20.579,20.558,1.511883361,1.564118486,-0.052235125,240.4441681,1174,213,201.1087952,1670.390259,43.59259415
cupreus,8.533,15.917,12.225,1.728353782,1.718005663,0.010348119,240.2934247,1245.942568,228.472973,194.4518581,878.554854,68.16373189
cuprinus,15.038,17.547,16.2925,1.792391689,1.701702589,0.0906891,216.1572444,1154.611111,238,199.9938265,1400.914768,74.90541373
cuscoensis,-13.137,-12.99,-13.0635,1.781755375,1.850663689,-0.068908314,194.5057983,1330.333333,231,183.3333333,792.672465,53.99596914
cusuco,15.483,15.517,15.5,1.648360011,1.70870217,-0.060342159,184.7393799,1251,241.5,207.5208359,1627.780396,43.6791954
cuvieri,18.12,18.337,18.2285,2.115610512,2.016105654,0.099504858,225.8192749,1434.8,225.2,206.0703735,1219.758643,36.9629776
cyanopleurus,20.145,23.02,21.5825,1.607455023,1.564118486,0.043336537,238.2312775,1191.875,228,204.2054386,1626.680435,41.81638241
cybotes,17.77,20.045,18.9075,1.866287339,1.801127468,0.065159871,232.5871619,1142.486188,217.252302,190.843079,1217.389644,47.57302133
cymbops,18.486,18.883,18.6845,1.672097858,1.701084098,-0.02898624,201.9772766,1230.6,198.8,198.7092621,1941.527832,78.40010376
danieli,6.32,6.97,6.645,2.043362278,1.989182187,0.054180091,170.0997111,1298.333333,222,188.1882731,402.3058675,36.62548765
