"species","svl_mean","head.count_mean","midline.count_mean","dorsal.count_mean","dorsolateral.count_mean","chin.count_mean","ventral.count_mean","foretoes.count.t_mean","foretoes.count.b_mean","hindtoes.count.t_mean","hindtoes.count.b_mean"
"strahmi",72.07,-3.957627009754,-3.2840933292017,-2.99022493790628,-2.71173713699288,-2.5915253552746,-3.2840933292017,-2.44341444138835,-3.25434465760468,-2.86867723337697,-3.37387097379623
"stratulus",46.14,-3.14980913907582,-2.07781910766712,-1.85592712146197,-1.90596885074046,-1.9330024613756,-2.40900686861371,-1.60984541545527,-2.3618841138434,-1.99189397920379,-2.40900686861371
"subocularis",52.2533333333333,-3.1799223253603,-3.20291994918929,-3.15840948498111,-2.44505409714902,-2.22715798254255,-3.01800499662234,-2.05186867164409,-2.7073784837301,-2.46009424224251,-2.97874398473688
"sulcifrons",61.32,-3.33957726450462,-2.71096860508224,-2.58580546212824,-2.52864704828829,-2.47457982701801,-2.77996147656919,-2.12589564605172,-2.71368231095384,-2.47457982701801,-2.93411215639645
"terueli",38.83,-3.40644912265308,-1.94011205385965,-1.86600408170593,-1.94011205385965,-1.79701121021898,-2.55915126226587,-1.33129024276524,-2.02443742332519,-1.94011205385965,-2.20247631832714
"tigrinus",46.32,-3.24858684853319,-2.29307540350575,-2.21896743135203,-2.37311811117929,-1.96765300307112,-2.37311811117929,-1.56577856309369,-2.1535652279958,-1.96765300307112,-2.46012948816892
"tolimensis",46.025,-2.70543463367458,-2.28178570348097,-2.10763235634687,-1.9263623246513,-1.87632059537281,-2.3588610433946,-1.87640597171852,-2.35894641974031,-2.27881833572107,-2.59386285801747
"townsendi",50.25,-2.77068443333537,-2.5356826187125,-2.41858592496211,-2.21768823535251,-1.93058094167422,-2.57918830720732,-2.05314217069071,-2.4241108430554,-2.3125390673983,-2.77068443333537
"tropidogaster",52.1325,-2.76990290128025,-2.84700375009651,-2.55357380980778,-2.19138067191137,-2.08838572462903,-2.87023824901133,-2.08540984094016,-2.69454310731611,-2.51032660476203,-3.11966477985124
"tropidolepis",50.372,-2.75420453930878,-2.7059060013123,-2.51120001120627,-2.19449898209511,-2.23464166509254,-2.82352946092582,-2.40676584023634,-2.79435423611757,-2.66577186221987,-3.02622035699138
"tropidonotus",51.56,-2.99279224198235,-3.46279587122809,-3.46279587122809,-3.05955793829461,-2.43573400438031,-3.46279587122809,-2.02606389799034,-2.58567968592576,-2.36641075773467,-2.93390072415416
"ustus",39.01,-2.72220948366012,-2.43452741120834,-2.31674437555196,-2.02906230310017,-1.62359719499201,-2.43452741120834,-1.62359719499201,-2.02906230310017,-1.87491162327292,-2.31674437555196
"vanzolinii",91,-5.10969600760555,-4.41654882704561,-4.59887038383956,-4.12886675459383,-3.3179365383775,-4.01108371893744,-2.80711091461151,-3.3179365383775,-3.07281408034451,-3.50025809517145
"vermiculatus",122,-4.49204627971243,-4.08658117160427,-3.96141802865026,-3.90425961481031,-3.36064416822133,-4.39673609990811,-3.21111243425037,-3.61657754235853,-3.536534834685,-3.90425961481031
"vinosus",51.84,-3.69419838407513,-2.26514713541145,-2.16619300666336,-2.09940289748062,-2.16455365652682,-2.66466149618194,-1.73289117937405,-2.48492987776218,-2.23549569980948,-2.68467217310033
"vittigerus",56.555,-3.14896896778519,-2.9776742150575,-3.05980023180051,-2.4974650871817,-2.2254298399815,-3.18235181594132,-2.11226576828507,-2.76809301144685,-2.51359971746609,-3.1195232088711
"wilsoni",49.485,-3.19819801375703,-3.49209134620809,-3.60366312186519,-2.91839011978932,-2.28413445705756,-3.21228345224038,-2.19068413000475,-2.50498845971594,-2.46502947936032,-2.97728163761751
"zeus",38.59,-2.36687747333863,-1.88912175082491,-1.75080563269232,-1.6579117503071,-1.55930950656426,-2.09322982156494,-1.59850614167323,-2.14781228600728,-2.09322982156494,-2.47844924899574
