 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.013,0.414,0.957,1.105,0.905,0.981
2,0.024,0.552,0.972,1.013,0.987,1.018
3,0.020,0.507,0.971,1.074,0.931,0.990
4,0.028,0.605,0.958,1.102,0.907,0.980
5,0.034,0.659,0.975,1.099,0.910,0.995
6,0.030,0.633,0.953,1.151,0.869,0.986
7,0.020,0.506,0.980,1.053,0.949,1.000
8,0.030,0.617,0.984,1.091,0.917,0.999
9,0.024,0.556,0.980,1.085,0.922,1.000
