 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.017,0.473,0.940,1.224,0.817,0.977
2,0.021,0.523,0.966,1.093,0.915,0.984
3,0.029,0.608,0.981,1.164,0.859,0.993
4,0.034,0.675,0.927,1.412,0.708,0.996
5,0.034,0.669,0.953,1.223,0.817,0.991
6,0.024,0.555,0.969,1.103,0.907,0.992
7,0.027,0.587,0.970,1.069,0.936,0.990
8,0.018,0.490,0.960,1.220,0.819,0.997
9,0.021,0.526,0.961,1.320,0.758,0.988
