 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.033,0.670,0.916,1.551,0.645,0.990
2,0.085,1.065,0.939,1.157,0.865,0.998
3,0.067,0.960,0.912,1.684,0.594,0.993
4,0.138,1.387,0.898,1.443,0.693,0.987
5,0.155,1.443,0.938,1.301,0.768,0.986
6,0.119,1.273,0.919,1.393,0.718,0.995
7,0.087,1.070,0.954,1.143,0.875,0.987
8,0.090,1.073,0.983,1.017,0.983,1.001
9,0.096,1.142,0.928,1.498,0.667,0.998
