 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.036,0.700,0.930,1.410,0.709,0.999
2,0.033,0.667,0.944,1.358,0.737,0.987
3,0.033,0.665,0.933,1.334,0.750,1.001
4,0.055,0.854,0.952,1.164,0.859,0.998
5,0.036,0.709,0.888,1.136,0.881,0.967
6,0.037,0.704,0.942,1.150,0.869,0.993
7,0.034,0.666,0.966,1.065,0.939,0.995
8,0.050,0.818,0.943,1.057,0.946,0.981
9,0.041,0.739,0.933,1.250,0.800,0.983
