 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.121,1.296,0.907,1.417,0.706,0.997
2,0.186,1.599,0.914,1.371,0.729,0.992
3,0.197,1.633,0.927,1.254,0.797,0.984
4,0.240,1.793,0.939,1.312,0.762,0.995
5,0.169,1.528,0.908,1.292,0.774,0.998
6,0.220,1.753,0.900,1.521,0.657,0.999
7,0.170,1.524,0.920,1.343,0.744,0.988
8,0.178,1.520,0.967,1.137,0.879,0.989
9,0.186,1.584,0.933,1.076,0.929,0.988
