 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.068,0.959,0.928,1.412,0.708,0.984
2,0.056,0.905,0.864,1.396,0.716,0.949
3,0.072,1.029,0.857,1.433,0.698,0.968
4,0.066,0.949,0.923,1.140,0.877,0.980
5,0.054,0.853,0.939,1.206,0.829,0.996
6,0.071,0.966,0.962,1.057,0.946,0.989
7,0.064,0.945,0.894,1.485,0.673,0.986
8,0.062,0.902,0.958,1.144,0.874,0.989
9,0.069,0.983,0.903,1.188,0.842,0.971
