 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.097,1.144,0.930,1.217,0.822,0.993
2,0.198,1.679,0.881,1.249,0.801,0.967
3,0.151,1.486,0.860,1.661,0.602,0.990
4,0.217,1.732,0.909,1.111,0.900,0.982
5,0.200,1.667,0.905,1.025,0.976,0.973
6,0.239,1.845,0.883,1.326,0.754,0.987
7,0.204,1.710,0.875,1.255,0.797,0.960
8,0.171,1.548,0.894,1.315,0.760,0.975
9,0.081,1.064,0.897,1.388,0.720,0.971
