 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.112,1.295,0.838,1.234,0.810,0.927
2,0.109,1.291,0.821,1.151,0.869,0.938
3,0.096,1.219,0.814,1.262,0.793,0.947
4,0.101,1.256,0.805,1.235,0.810,0.940
5,0.099,1.212,0.844,1.207,0.828,0.937
6,0.087,1.170,0.803,1.349,0.741,0.949
7,0.141,1.445,0.850,1.117,0.895,0.948
8,0.116,1.320,0.839,1.069,0.935,0.948
9,0.120,1.400,0.773,1.230,0.813,0.911
