 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.206,1.643,0.961,1.240,0.807,0.997
2,0.199,1.617,0.957,1.115,0.897,0.989
3,0.245,1.806,0.944,1.325,0.754,0.995
4,0.226,1.733,0.944,1.178,0.849,0.989
5,0.143,1.363,0.969,1.255,0.797,1.000
6,0.203,1.651,0.935,1.117,0.896,0.985
7,0.201,1.619,0.964,1.216,0.822,0.998
8,0.262,1.872,0.939,1.138,0.878,0.994
9,0.225,1.717,0.958,1.107,0.904,0.994
