 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.018,0.482,0.971,1.169,0.855,0.997
2,0.024,0.560,0.948,1.243,0.805,0.998
3,0.015,0.444,0.977,1.131,0.884,0.995
4,0.060,0.897,0.941,1.145,0.873,0.983
5,0.029,0.623,0.953,1.104,0.906,0.989
6,0.045,0.775,0.938,1.118,0.894,0.990
7,0.020,0.524,0.931,1.396,0.716,0.999
8,0.020,0.503,0.969,1.250,0.800,1.012
9,0.021,0.515,0.976,1.120,0.893,1.006
