 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.059,0.875,0.966,1.084,0.922,0.995
2,0.062,0.913,0.930,1.215,0.823,0.985
3,0.057,0.870,0.947,1.130,0.885,0.988
4,0.085,1.062,0.942,1.105,0.905,0.988
5,0.083,1.048,0.947,1.141,0.876,0.992
6,0.069,0.955,0.951,1.250,0.800,0.996
7,0.053,0.841,0.949,1.060,0.943,0.984
8,0.084,1.048,0.957,1.267,0.790,0.992
9,0.042,0.759,0.921,1.431,0.699,0.992
