 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.060,0.919,0.890,1.416,0.706,0.985
2,0.047,0.815,0.898,1.430,0.699,0.975
3,0.037,0.753,0.829,1.866,0.536,1.002
4,0.186,1.669,0.838,1.749,0.572,0.979
5,0.113,1.257,0.896,1.157,0.864,0.967
6,0.147,1.420,0.914,1.115,0.897,0.974
7,0.055,0.859,0.934,1.166,0.857,0.993
8,0.073,1.011,0.903,1.376,0.727,0.974
9,0.055,0.895,0.860,1.769,0.565,0.991
