 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.023,0.540,0.975,1.201,0.832,0.994
2,0.019,0.495,0.956,1.272,0.786,0.977
3,0.011,0.394,0.925,1.536,0.651,1.014
4,0.058,0.890,0.927,1.154,0.867,0.987
5,0.051,0.845,0.905,1.212,0.825,0.977
6,0.058,0.894,0.913,1.366,0.732,0.978
7,0.021,0.525,0.978,1.331,0.751,1.013
8,0.013,0.398,0.995,1.205,0.830,1.009
9,0.009,0.360,0.885,1.352,0.739,0.969
