 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.264,2.069,0.775,1.918,0.521,0.964
2,0.297,2.345,0.680,2.333,0.429,0.917
3,0.224,1.942,0.747,2.042,0.490,0.958
4,0.361,2.449,0.757,1.501,0.666,0.925
5,0.388,2.680,0.679,1.902,0.526,0.918
6,0.321,2.340,0.738,1.906,0.525,0.936
7,0.190,1.910,0.655,2.500,0.400,0.946
8,0.216,1.988,0.688,2.331,0.429,0.955
9,0.159,1.757,0.649,1.943,0.515,0.909
