 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.070,0.952,0.974,1.195,0.837,1.000
2,0.073,1.004,0.906,1.277,0.783,0.995
3,0.078,1.017,0.948,1.204,0.830,0.988
4,0.113,1.227,0.944,1.343,0.745,0.992
5,0.118,1.252,0.949,1.164,0.859,0.995
6,0.077,1.015,0.942,1.071,0.934,0.999
7,0.075,1.010,0.926,1.437,0.696,0.999
8,0.079,1.023,0.947,1.299,0.770,0.998
9,0.084,1.059,0.943,1.294,0.773,0.989
