 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.411,2.472,0.845,1.071,0.934,0.942
2,0.553,2.887,0.833,1.428,0.700,0.942
3,0.506,2.733,0.851,1.241,0.806,0.976
4,0.414,2.544,0.804,1.400,0.714,0.945
5,0.328,2.220,0.836,1.286,0.778,0.955
6,0.335,2.260,0.824,1.095,0.913,0.951
7,0.590,2.884,0.892,1.214,0.824,0.980
8,0.428,2.569,0.814,1.256,0.796,0.941
9,0.563,2.832,0.882,1.075,0.931,0.955
