 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.052,0.811,0.994,1.115,0.897,1.010
2,0.067,0.937,0.951,1.269,0.788,1.004
3,0.059,0.869,0.976,1.210,0.827,1.000
4,0.042,0.750,0.947,1.190,0.840,0.993
5,0.049,0.793,0.982,1.071,0.934,0.995
6,0.043,0.759,0.942,1.166,0.858,0.999
7,0.060,0.888,0.964,1.076,0.929,0.997
8,0.068,0.946,0.951,1.123,0.891,0.991
9,0.082,1.053,0.930,1.328,0.753,0.984
